raw_id,raw_name,include
8712,UNITED STATES SENATOR - Full Term,Yes
8780,"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",Yes
8780,"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",Yes
8745,"UNITED STATES REPRESENTATIVE, 23rd District",Yes
8746,"UNITED STATES REPRESENTATIVE, 26th District",Yes
8747,"UNITED STATES REPRESENTATIVE, 27th District",Yes
8748,"UNITED STATES REPRESENTATIVE, 28th District",Yes
8749,"UNITED STATES REPRESENTATIVE, 29th District",Yes
8750,"UNITED STATES REPRESENTATIVE, 30th District",Yes
8750,"UNITED STATES REPRESENTATIVE, 30th District",Yes
8751,"UNITED STATES REPRESENTATIVE, 31st District",Yes
8752,"UNITED STATES REPRESENTATIVE, 32nd District",Yes
8752,"UNITED STATES REPRESENTATIVE, 32nd District",Yes
8753,"UNITED STATES REPRESENTATIVE, 34th District",Yes
8754,"UNITED STATES REPRESENTATIVE, 35th District",Yes
8754,"UNITED STATES REPRESENTATIVE, 35th District",Yes
8755,"UNITED STATES REPRESENTATIVE, 36th District",Yes
8756,"UNITED STATES REPRESENTATIVE, 37th District",Yes
8757,"UNITED STATES REPRESENTATIVE, 38th District",Yes
8758,"UNITED STATES REPRESENTATIVE, 42nd District",Yes
8758,"UNITED STATES REPRESENTATIVE, 42nd District",Yes
8759,"UNITED STATES REPRESENTATIVE, 43rd District",Yes
8760,"UNITED STATES REPRESENTATIVE, 44th District",Yes
8761,"UNITED STATES REPRESENTATIVE, 45th District",Yes
8713,"STATE SENATOR, 20th District",Yes
8714,"STATE SENATOR, 22nd District",Yes
8715,"STATE SENATOR, 24th District",Yes
8715,"STATE SENATOR, 24th District",Yes
8716,"STATE SENATOR, 26th District",Yes
8717,"STATE SENATOR, 28th District",Yes
8718,"STATE SENATOR, 30th District",Yes
8719,"STATE SENATOR, 34th District",Yes
8719,"STATE SENATOR, 34th District",Yes
8720,"STATE SENATOR, 36th District",Yes
8721,"MEMBER OF THE STATE ASSEMBLY, 34th District",Yes
8722,"MEMBER OF THE STATE ASSEMBLY, 39th District",Yes
8723,"MEMBER OF THE STATE ASSEMBLY, 40th District",Yes
8723,"MEMBER OF THE STATE ASSEMBLY, 40th District",Yes
8724,"MEMBER OF THE STATE ASSEMBLY, 41st District",Yes
8725,"MEMBER OF THE STATE ASSEMBLY, 42nd District",Yes
8726,"MEMBER OF THE STATE ASSEMBLY, 43rd District",Yes
8727,"MEMBER OF THE STATE ASSEMBLY, 44th District",Yes
8728,"MEMBER OF THE STATE ASSEMBLY, 46th District",Yes
8729,"MEMBER OF THE STATE ASSEMBLY, 48th District",Yes
8730,"MEMBER OF THE STATE ASSEMBLY, 49th District",Yes
8731,"MEMBER OF THE STATE ASSEMBLY, 51st District",Yes
8732,"MEMBER OF THE STATE ASSEMBLY, 52nd District",Yes
8733,"MEMBER OF THE STATE ASSEMBLY, 53rd District",Yes
8733,"MEMBER OF THE STATE ASSEMBLY, 53rd District",Yes
8734,"MEMBER OF THE STATE ASSEMBLY, 54th District",Yes
8735,"MEMBER OF THE STATE ASSEMBLY, 55th District",Yes
8736,"MEMBER OF THE STATE ASSEMBLY, 56th District",Yes
8737,"MEMBER OF THE STATE ASSEMBLY, 57th District",Yes
8738,"MEMBER OF THE STATE ASSEMBLY, 61st District",Yes
8739,"MEMBER OF THE STATE ASSEMBLY, 62nd District",Yes
8739,"MEMBER OF THE STATE ASSEMBLY, 62nd District",Yes
8740,"MEMBER OF THE STATE ASSEMBLY, 64th District",Yes
8741,"MEMBER OF THE STATE ASSEMBLY, 65th District",Yes
8741,"MEMBER OF THE STATE ASSEMBLY, 65th District",Yes
8742,"MEMBER OF THE STATE ASSEMBLY, 66th District",Yes
8743,"MEMBER OF THE STATE ASSEMBLY, 67th District",Yes
8744,"MEMBER OF THE STATE ASSEMBLY, 69th District",Yes
8559,AGOURA HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8559,AGOURA HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8650,"ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, First District",Yes
8692,"ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, Second District",Yes
8693,"ALHAMBRA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, Fifth District",Yes
8629,"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8629,"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8630,"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8631,"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8631,"ARCADIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8560,ARTESIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8560,ARTESIA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8671,AZUSA CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8672,AZUSA CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8562,AZUSA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8562,AZUSA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8561,AZUSA CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8694,"AZUSA CITY GENERAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending November 12, 2024)",Yes
8694,"AZUSA CITY GENERAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending November 12, 2024)",Yes
8564,BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8566,BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8566,BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8563,BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8565,BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8874,BELL GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8874,BELL GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8633,"BELLFLOWER CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8633,"BELLFLOWER CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8635,"BELLFLOWER CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8636,BURBANK CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8636,BURBANK CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8637,BURBANK CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8638,BURBANK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8638,BURBANK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8567,CALABASAS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8567,CALABASAS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8639,CARSON CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8639,CARSON CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8640,CARSON CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8641,"CARSON CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8641,"CARSON CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8642,"CARSON CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",Yes
8643,"CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8643,"CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8644,"CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8645,"CLAREMONT CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",Yes
8568,CUDAHY CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8569,CULVER CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8569,CULVER CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8646,"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8646,"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8647,"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8648,"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",Yes
8648,"DIAMOND BAR CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",Yes
8572,"DOWNEY CITY GENERAL MUNICIPAL ELECTION Council Member, District 002",Yes
8574,"DOWNEY CITY GENERAL MUNICIPAL ELECTION Council Member, District 004",Yes
8574,"DOWNEY CITY GENERAL MUNICIPAL ELECTION Council Member, District 004",Yes
8575,"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8573,"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",Yes
8573,"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",Yes
8576,"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8577,"DUARTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 6th District",Yes
8673,"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8674,"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8675,"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8675,"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8676,"EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 6th District",Yes
8579,EL MONTE CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8579,EL MONTE CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8578,EL MONTE CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8580,EL MONTE CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8580,EL MONTE CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8570,EL SEGUNDO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8677,"HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending November 5, 2024)",Yes
8677,"HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending November 5, 2024)",Yes
8678,HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8678,HAWAIIAN GARDENS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8581,HAWTHORNE CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8582,HAWTHORNE CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8582,HAWTHORNE CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8583,HAWTHORNE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8583,HAWTHORNE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8833,HERMOSA BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8833,HERMOSA BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8571,HIDDEN HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8571,HIDDEN HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8859,"INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8859,"INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8860,"INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8845,INGLEWOOD CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8584,IRWINDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8680,LA PUENTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8680,LA PUENTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8699,"LA PUENTE CITY SPECIAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending December 10, 2024)",Yes
8796,LAWNDALE CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8796,LAWNDALE CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8797,LAWNDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8795,LAWNDALE CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8795,LAWNDALE CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8708,"LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8709,"LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8709,"LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8711,"LONG BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 9th District",Yes
8701,LONG BEACH CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8701,LONG BEACH CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8848,LOS ANGELES CITY GENERAL MUNICIPAL ELECTION City Attorney,Yes
8849,LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Controller,Yes
8849,LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Controller,Yes
8868,"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 11th District",Yes
8871,"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 13th District",Yes
8871,"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 13th District",Yes
8872,"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 15th District",Yes
8867,"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8867,"LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8847,LOS ANGELES CITY GENERAL MUNICIPAL ELECTION Mayor,Yes
8586,LYNWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8586,LYNWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8587,MALIBU CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8587,MALIBU CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8588,MANHATTAN BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8588,MANHATTAN BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8700,"MAYWOOD CITY GENERAL MUNICIPAL ELECTION City Clerk (Unexpired term ending December 1, 2024)",Yes
8589,MAYWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8840,MONTEBELLO CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8801,"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District (Unexpired term ending November 5, 2024)",Yes
8802,"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District (Unexpired term ending November 5, 2024)",Yes
8802,"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District (Unexpired term ending November 5, 2024)",Yes
8798,"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8799,"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8800,"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8800,"MONTEBELLO CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8695,MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8696,MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8696,MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8689,"MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 1st District",Yes
8690,"MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8690,"MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8697,"MONTEREY PARK CITY SPECIAL MUNICIPAL ELECTION Member of the City Council, 3rd District (Unexpired term ending November 5, 2024)",Yes
8590,NORWALK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8590,NORWALK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8591,"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8591,"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8592,"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 4th District",Yes
8593,"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8593,"PALMDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8594,PALOS VERDES ESTATES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8594,PALOS VERDES ESTATES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8595,PICO RIVERA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8596,"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8596,"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 2nd District",Yes
8597,"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 3rd District",Yes
8598,"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8598,"POMONA CITY GENERAL MUNICIPAL ELECTION Member of the City Council, 5th District",Yes
8599,RANCHO PALOS VERDES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8599,RANCHO PALOS VERDES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8600,ROLLING HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8603,SAN FERNANDO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8688,SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8688,SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8687,SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8602,SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8602,SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8973,SAN MARINO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8973,SAN MARINO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8604,SANTA CLARITA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8604,SANTA CLARITA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8605,SANTA FE SPRINGS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8605,SANTA FE SPRINGS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8684,SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8684,SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8684,SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8683,SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the Rent Control Board,Yes
8842,SIERRA MADRE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8842,SIERRA MADRE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8606,SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION City Clerk,Yes
8607,SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8607,SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION City Treasurer,Yes
8608,SIGNAL HILL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8609,SOUTH EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
8609,SOUTH EL MONTE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,Yes
