raw_name,pdf_name,include,clean_geography,clean_level,clean_name,clean_description,sort_order,incumbent
CUDAHY CITY GENERAL MUNICIPAL ELECTION - MEASURE BA,CUDAHY CITY MEASURE BA,No,Cudahy,,Measure BA,Allow cannabis sales and taxes,,
LONG BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE BB,LONG BEACH CITY MEASURE BB,No,Long Beach,,Measure BB,Merge public utilities,,
CULVER CITY GENERAL MUNICIPAL ELECTION - MEASURE BL,CULVER CITY MEASURE BL,No,Culver City,,Measure BL,Reform business license tax,,
BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION - MEASURE BP,BALDWIN PARK MEASURE BP,No,Baldwin Park,,Measure BP,Sales tax,,
EL SEGUNDO CITY GENERAL MUNICIPAL ELECTION - MEASURE BT,EL SEGUNDO CITY MEASURE BT,No,El Segundo,,Measure BT,Amend business taxes,,
LONG BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE E,LONG BEACH CITY MEASURE E,No,Long Beach,,Measure C,Create police oversight commission,,
ARCADIA CITY GENERAL MUNICIPAL ELECTION - MEASURE CA,ARCADIA MEASURE CA,No,Arcadia,,Measure CA,Reform city council elections,,
BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION - MEASURE CB,BALDWIN PARK MEASURE CB,No,Baldwin Park,,Measure CB,Allow cannabis sales and taxes,,
CERRITOS COMMUNITY COLLEGE DISTRICT SPECIAL ELECTION - MEASURE CC,CERRITOS COMMUNITY COLLEGE MEASURE CC,No,Cerritos,,Measure CC,Authorize bonds,,
SOUTH EL MONTE CITY GENERAL MUNICIPAL ELECTION - MEASURE CM,SOUTH EL MONTE CITY MEASURE CM,No,South El Monte,,Measure CM,Establish cannabis tax,,
BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION - MEASURE CN,BALDWIN PARK MEASURE CN,No,Baldwin Park,,Measure CN,Campaign contribution limits,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE CS,SANTA MONICA CITY MEASURE CS,No,Santa Monica,,Measure CS,Increase hotel tax,,
CLAREMONT CITY SPECIAL MUNICIPAL ELECTION - MEASURE CT,CLAREMONT CITY MEASURE CT,No,Claremont,,Measure CT,Establish cannabis tax,,
DOWNEY CITY GENERAL MUNICIPAL ELECTION - MEASURE D,DOWNEY CITY MEASURE D,No,Downey,,Measure D,Increase hotel tax,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE DT,SANTA MONICA CITY MEASURE DT,No,Santa Monica,,Measure DT,On-time tax on property transfers,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE DTS,SANTA MONICA CITY MEASURE DTS,No,Santa Monica,,Measure DTS,Advisory vote on use of property transfer tax,,
COMPTON CITY SPECIAL MUNICIPAL ELECTION - MEASURE ED,COMPTON CITY MEASURE ED,No,Compton,,Measure ED,Move elections,,
WISEBURN UNIFIED SCHOOL DISTRICT SPECIAL ELECTION - MEASURE EE,WISEBURN UNIFIED SCHOOL DISTRICT,No,Wiseburn Unified School District,,Measure EE,Authorize bonds,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE EM,SANTA MONICA CITY MEASURE EM,No,Santa Monica,,Measure EM,Grant rent control board emergency powers,,
EASTSIDE UNION SCHOOL DISTRICT SPECIAL ELECTION - MEASURE ES,EASTSIDE UNION SCHOOL MEASURE ES,No,East Lancaster,,Measure ES,Authorize bonds,,
PICO RIVERA CITY GENERAL MUNICIPAL ELECTION - MEASURE F,PICO RIVERA CITY MEASURE F,No,Pico Rivera,,Measure F,Set term limits,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE GS,SANTA MONICA CITY MEASURE GS,No,Santa Monica,,Measure GS,Designate funds for schools and housing,,
INGLEWOOD CITY GENERAL MUNICIPAL ELECTION - MEASURE HC,INGLEWOOD CITY MEASURE HC,No,Inglewood,,Measure HC,Establish healthcare minimum wage,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE HMP,SANTA MONICA CITY MEASURE HMP,No,Santa Monica,,Measure HMP,Establish cannabis tax,,
SIERRA MADRE CITY GENERAL MUNICIPAL ELECTION - MEASURE HR,SIERRA MADRE CITY MEASURE HR,No,Sierra Madre,,Measure HR,Mater Dolorosa property designation,,
ARCADIA CITY GENERAL MUNICIPAL ELECTION - MEASURE HT,ARCADIA MEASURE HT,No,Arcadia,,Measure HT,Increase hotel tax,,
HAWTHORNE CITY GENERAL MUNICIPAL ELECTION - MEASURE I,HAWTHORNE CITY MEASURE I,No,Hawthorne,,Measure I,Expand City Council authority,,
DUARTE CITY GENERAL MUNICIPAL ELECTION - MEASURE J,DUARTE CITY MEASURE J,No,Duarte,,Measure J,Establish healthcare minimum wage,,
DOWNEY UNIFIED SCHOOL DISTRICT SPECIAL ELECTION - MEASURE K,DOWNEY USD MEASURE K,No,Downey,,Measure K,Authorize bonds,,
PASADENA CITY GENERAL MUNICIPAL ELECTION - MEASURE L,PASADENA CITY MEASURE L,No,Pasadena,,Measure L,Continue parcel tax for libraries,,
LONG BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE LBC,LONG BEACH CITY MEASURE LBC,No,Long Beach,,Measure LBC,Realign election dates,,
LONG BEACH UNIFIED SCHOOL DISTRICT SPECIAL ELECTION - MEASURE LBU,LONG BEACH USD MEASURE LBU,No,Long Beach,,Measure LBU,Realign election dates,,
SOUTH PASADENA CITY GENERAL MUNICIPAL ELECTION - MEASURE LL,SOUTH PASADENA CITY MEASURE LL,No,South Pasadena,,Measure LL,Extend library tax,,
HERMOSA BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE M,HERMOSA BEACH CITY MEASURE M,No,Hermosa Beach,,Measure M,Repeal cannabis prohibition,,
MANHATTAN BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE MB,MANHATTAN BEACH CITY MEASURE MB,No,Manhattan Beach,,Measure MB,Repeal retail cannabis prohibition,,
MALIBU CITY GENERAL MUNICIPAL ELECTION - MEASURE MC,MALIBU CITY MEASURE MC,No,Malibu,,Measure MC,Increase sales tax,,
MONROVIA UNIFIED SCHOOL DISTRICT SPECIAL ELECTION - MEASURE MM,,No,Monrovia Unified School District,,Measure MM,,,
MONTEREY PARK CITY GENERAL MUNICIPAL ELECTION - MEASURE MP,MONTEREY PARK CITY MEASURE MP,No,Monterey Park,,Measure MP,Increase sales tax,,
EL MONTE CITY GENERAL MUNICIPAL ELECTION - MEASURE OT,EL MONTE CITY MEASURE OT,No,El Monte,,Measure OT,Increase hotel tax,,
PARAMOUNT UNIFIED SCHOOL DISTRICT SPECIAL ELECTION - MEASURE P,PARAMOUND USD MEASURE P,No,Paramount Unified School District,,Measure P,Set term limits,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE PB,SANTA MONICA CITY MEASURE PB,No,Santa Monica,,Measure PB,Expand personnel board eligibility,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PC,POMONA CITY MEASURE PC,No,Pomona,,Measure PC,Reform campaign finance regulations,,
PASADENA AREA COMMUNITY COLLEGE DISTRICT SPECIAL ELECTION - MEASURE PCC,PASADENA AREA COMMUNITY COLLEGE MEASURE PCC,No,Pasadena,,Measure PCC,Authorize bonds,,
SOUTH GATE CITY GENERAL MUNICIPAL ELECTION - MEASURE PD,SOUTH GATE CITY MEASURE PD,No,South Gate,,Measure PD,Increase material recovery facilities tax,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PE,POMONA CITY MEASURE PE,No,Pomona,,Measure PE,Create ethics commission,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PG,POMONA CITY MEASURE PG,No,Pomona,,Measure PG,Revise city charter,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PI,POMONA CITY MEASURE PI,No,Pomona,,Measure PI,Create independent redistricting commission,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PL,POMONA CITY MEASURE PL,No,Pomona,,Measure PL,Require runoff elections,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PO,POMONA CITY MEASURE PO,No,Pomona,,Measure PO,Create police oversight commission,,
HUNTINGTON PARK CITY SPECIAL MUNICIPAL ELECTION - MEASURE PP,HUNTINGTON PARK CITY MEASURE PP,No,Huntington Park,,Measure PP,Establish overnight parking permitting,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PR,POMONA CITY MEASURE PR,No,Pomona,,Measure PR,Establish resign to run rule,,
PALMDALE SCHOOL DISTRICT SPECIAL ELECTION - MEASURE PRM,PALMDALE SD MEASURE PRM,No,Palmdale,,Measure PRM,Authorize bonds,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PS,POMONA CITY MEASURE PS,No,Pomona,,Measure PS,Establish industrial parcel tax,,
POMONA CITY GENERAL MUNICIPAL ELECTION - MEASURE PT,POMONA CITY MEASURE PT,No,Pomona,,Measure PT,Set term limits,,
LONG BEACH UNIFIED SCHOOL DISTRICT SPECIAL ELECTION - MEASURE Q,LONG BEACH USD MEASURE Q,No,Long Beach,,Measure Q,Authorize bonds,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION - MEASURE RC,SANTA MONICA CITY MEASURE RC,No,Santa Monica,,Measure RC,Revise eviction restrictions,,
BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION - MEASURE RM,BALDWIN PARK MEASURE RM,No,Baldwin Park,,Measure RM,Reform city council structure,,
CARSON CITY GENERAL MUNICIPAL ELECTION - MEASURE R,CARSON CITY CITY MEASURE R,No,Carson,,Measure RM,Continue utility tax,,
LAS VIRGENES UNIFIED SCHOOL DISTRICT SPECIAL ELECTION - MEASURE S,LAS VIRGENES USD,No,Las Virgenes,,Measure S,Authorize bonds,,
CITY OF COMMERCE SPECIAL MUNICIPAL ELECTION - MEASURE SL,COMMERCE CITY MEASURE SL,No,Commerce,,Measure SL,Extend term limits,,
SANTA MONICA COMMUNITY COLLEGE DISTRICT SPECIAL ELECTION - MEASURE SMC,SANTA MONICA COMMUNITY COLLEGE DISTRICT MEASURE SMC,No,Santa Monica Community College District,,Measure SMC,Authorize bonds,,
ARCADIA CITY GENERAL MUNICIPAL ELECTION - MEASURE SW,ARCADIA MEASURE SW,No,Arcadia,,Measure SW,Establish sports wagering tax,,
HERMOSA BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE T,HERMOSA BEACH CITY MEASURE T,No,Hermosa Beach,,Measure T,Establish cannabis tax,,
BALDWIN PARK CITY GENERAL MUNICIPAL ELECTION - MEASURE TL,BALDWIN PARK MEASURE TL,No,Baldwin Park,,Measure TL,Set term limits,,
LYNWOOD CITY GENERAL MUNICIPAL ELECTION - MEASURE TR,LYNWOOD CITY MEASURE TR,No,Lynwood,,Measure TR,Establish cannabis tax,,
HERMOSA BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE U,HERMOSA BEACH CITY MEASURE U,No,Hermosa Beach,,Measure U,Repeal civil service system,,
MANHATTAN BEACH CITY GENERAL MUNICIPAL ELECTION - MEASURE V,MANHATTAN BEACH CITY MEASURE V,No,Manhattan Beach,,Measure V,Readopt commercial cannabis prohibition,,
CULVER CITY GENERAL MUNICIPAL ELECTION - MEASURE VY,CULVER CITY MEASURE VY,No,Culver City,,Measure VY,Lower voting age in school elections,,
EL SEGUNDO CITY GENERAL MUNICIPAL ELECTION - MEASURE W,EL SEGUNDO CITY MEASURE W,No,El Segundo,,Measure W,Repeal cannabis prohibition,,
SOUTH EL MONTE CITY GENERAL MUNICIPAL ELECTION - MEASURE X,SOUTH EL MONTE CITY MEASURE X,No,South El Monte,,Measure X,Allow cannabis businesses,,
EL SEGUNDO CITY GENERAL MUNICIPAL ELECTION - MEASURE Y,EL SEGUNDO CITY MEASURE Y,No,El Segundo,,Measure Y,Allow cannabis taxes,,
SAN MARINO CITY GENERAL MUNICIPAL ELECTION - MEASURE Z,SAN MARINO CITY MEASURE Z,No,San Marino,,Measure Z,Levy parcel tax on specified properties,,
SANTA MONICA COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees,SANTA MONICA COMMUNITY COLLEGE DISTRICT Member of the Board of Trustees,No,Santa Monica Community College District,,Member of the Board of Trustees,,,
"ALHAMBRA UNIFIED SCHOOL DISTRICT Member, Board of Education, Trustee Area No. 5","ALHAMBRA UNIFIED SCHOOL DISTRICT Member, Board of Education, Trustee Area No. 005",No,Alhambra Unified School District,,"Member, Board of Education, Trustee Area No. 5",,,
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the Rent Control Board,SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the Rent Control Board,No,Santa Monica,,Rent Control Board,,,ERICKA LESLEY
SECRETARY OF STATE,SECRETARY OF STATE,No,California,,Secretary of State,,,SHIRLEY N. WEBER
"MEMBER OF THE STATE ASSEMBLY, 48th District","MEMBER OF THE STATE ASSEMBLY, 48th District",No,California,,"State Assembly,  48th District",,,BLANCA RUBIO
"MEMBER OF THE STATE ASSEMBLY, 34th District","MEMBER OF THE STATE ASSEMBLY, 34th District",No,California,,"State Assembly, 34th District",,,"TOM LACKEY,THURSTON ""SMITTY"" SMITH"
"MEMBER OF THE STATE ASSEMBLY, 39th District","MEMBER OF THE STATE ASSEMBLY, 39th District",No,California,,"State Assembly, 39th District",,,
"MEMBER OF THE STATE ASSEMBLY, 40th District","MEMBER OF THE STATE ASSEMBLY, 40th District",No,California,,"State Assembly, 40th District",,,SUZETTE MARTINEZ VALLADARES
"MEMBER OF THE STATE ASSEMBLY, 41st District","MEMBER OF THE STATE ASSEMBLY, 41st District",No,California,,"State Assembly, 41st District",,,CHRIS HOLDEN
"MEMBER OF THE STATE ASSEMBLY, 42nd District","MEMBER OF THE STATE ASSEMBLY, 42nd District",No,California,,"State Assembly, 42nd District",,,JACQUI IRWIN
"MEMBER OF THE STATE ASSEMBLY, 43rd District","MEMBER OF THE STATE ASSEMBLY, 43rd District",No,California,,"State Assembly, 43rd District",,,LUZ MARIA RIVAS
"MEMBER OF THE STATE ASSEMBLY, 44th District","MEMBER OF THE STATE ASSEMBLY, 44th District",No,California,,"State Assembly, 44th District",,,LAURA FRIEDMAN
"MEMBER OF THE STATE ASSEMBLY, 46th District","MEMBER OF THE STATE ASSEMBLY, 46th District",No,California,,"State Assembly, 46th District",,,JESSE GABRIEL
"MEMBER OF THE STATE ASSEMBLY, 49th District","MEMBER OF THE STATE ASSEMBLY, 49th District",No,California,,"State Assembly, 49th District",,,MIKE FONG
"MEMBER OF THE STATE ASSEMBLY, 51st District","MEMBER OF THE STATE ASSEMBLY, 51st District",No,California,,"State Assembly, 51st District",,,
"MEMBER OF THE STATE ASSEMBLY, 52nd District","MEMBER OF THE STATE ASSEMBLY, 52nd District",No,California,,"State Assembly, 52nd District",,,WENDY CARRILLO
"MEMBER OF THE STATE ASSEMBLY, 53rd District","MEMBER OF THE STATE ASSEMBLY, 53rd District",No,California,,"State Assembly, 53rd District",,,FREDDIE RODRIGUEZ
"MEMBER OF THE STATE ASSEMBLY, 54th District","MEMBER OF THE STATE ASSEMBLY, 54th District",No,California,,"State Assembly, 54th District",,,MIGUEL SANTIAGO
"MEMBER OF THE STATE ASSEMBLY, 55th District","MEMBER OF THE STATE ASSEMBLY, 55th District",No,California,,"State Assembly, 55th District",,,ISAAC G. BRYAN
"MEMBER OF THE STATE ASSEMBLY, 56th District","MEMBER OF THE STATE ASSEMBLY, 56th District",No,California,,"State Assembly, 56th District",,,LISA CALDERON
"MEMBER OF THE STATE ASSEMBLY, 57th District","MEMBER OF THE STATE ASSEMBLY, 57th District",No,California,,"State Assembly, 57th District",,,REGGIE JONES-SAWYER
"MEMBER OF THE STATE ASSEMBLY, 61st District","MEMBER OF THE STATE ASSEMBLY, 61st District",No,California,,"State Assembly, 61st District",,,TINA SIMONE MCKINNOR
"MEMBER OF THE STATE ASSEMBLY, 62nd District","MEMBER OF THE STATE ASSEMBLY, 62nd District",No,California,,"State Assembly, 62nd District",,,ANTHONY RENDON
"MEMBER OF THE STATE ASSEMBLY, 64th District","MEMBER OF THE STATE ASSEMBLY, 64th District",No,California,,"State Assembly, 64th District",,,
"MEMBER OF THE STATE ASSEMBLY, 65th District","MEMBER OF THE STATE ASSEMBLY, 65th District",No,California,,"State Assembly, 65th District",,,MIKE ANTHONY GIPSON
"MEMBER OF THE STATE ASSEMBLY, 66th District","MEMBER OF THE STATE ASSEMBLY, 66th District",No,California,,"State Assembly, 66th District",,,AL MURATSUCHI
"MEMBER OF THE STATE ASSEMBLY, 67th District","MEMBER OF THE STATE ASSEMBLY, 67th District",No,California,,"State Assembly, 67th District",,,SHARON QUIRK-SILVA
"MEMBER OF THE STATE ASSEMBLY, 69th District","MEMBER OF THE STATE ASSEMBLY, 69th District",No,California,,"State Assembly, 69th District",,,
"STATE SENATOR, 20th District","STATE SENATOR, 20th District",No,California,,"State Senator, 20th District",,,
"STATE SENATOR, 22nd District","STATE SENATOR, 22nd District",No,California,,"State Senator, 22nd District",,,SUSAN RUBIO
"STATE SENATOR, 24th District","STATE SENATOR, 24th District",No,California,,"State Senator, 24th District",,,BEN ALLEN
"STATE SENATOR, 26th District","STATE SENATOR, 26th District",No,California,,"State Senator, 26th District",,,MARIA ELENA DURAZO
"STATE SENATOR, 28th District","STATE SENATOR, 28th District",No,California,,"State Senator, 28th District",,,
"STATE SENATOR, 30th District","STATE SENATOR, 30th District",No,California,,"State Senator, 30th District",,,BOB ARCHULETA
"STATE SENATOR, 34th District","STATE SENATOR, 34th District",No,California,,"State Senator, 34th District",,,TOM UMBERG
"STATE SENATOR, 36th District","STATE SENATOR, 36th District",No,California,,"State Senator, 36th District",,,
TREASURER,TREASURER,No,California,,Treasurer,,,FIONA MA
"UNITED STATES REPRESENTATIVE, 23rd District","UNITED STATES REPRESENTATIVE, 23rd District",No,United States,,"U.S. Representative, 23rd District",,,JAY OBERNOLTE
"UNITED STATES REPRESENTATIVE, 26th District","UNITED STATES REPRESENTATIVE, 26th District",No,United States,,"U.S. Representative, 26th District",,,JULIA BROWNLEY
"UNITED STATES REPRESENTATIVE, 27th District","UNITED STATES REPRESENTATIVE, 27th District",No,United States,,"U.S. Representative, 27th District",,,MIKE GARCIA
"UNITED STATES REPRESENTATIVE, 28th District","UNITED STATES REPRESENTATIVE, 28th District",No,United States,,"U.S. Representative, 28th District",,,JUDY CHU
"UNITED STATES REPRESENTATIVE, 29th District","UNITED STATES REPRESENTATIVE, 29th District",No,United States,,"U.S. Representative, 29th District",,,TONY CARDENAS
"UNITED STATES REPRESENTATIVE, 30th District","UNITED STATES REPRESENTATIVE, 30th District",No,United States,,"U.S. Representative, 30th District",,,ADAM B. SCHIFF
"UNITED STATES REPRESENTATIVE, 31st District","UNITED STATES REPRESENTATIVE, 31st District",No,United States,,"U.S. Representative, 31st District",,,GRACE F. NAPOLITANO
"UNITED STATES REPRESENTATIVE, 32nd District","UNITED STATES REPRESENTATIVE, 32nd District",No,United States,,"U.S. Representative, 32nd District",,,BRAD SHERMAN
"UNITED STATES REPRESENTATIVE, 34th District","UNITED STATES REPRESENTATIVE, 34th District",No,United States,,"U.S. Representative, 34th District",,,JIMMY GOMEZ
"UNITED STATES REPRESENTATIVE, 35th District","UNITED STATES REPRESENTATIVE, 35th District",No,United States,,"U.S. Representative, 35th District",,,NORMA J. TORRES
"UNITED STATES REPRESENTATIVE, 36th District","UNITED STATES REPRESENTATIVE, 36th District",No,United States,,"U.S. Representative, 36th District",,,TED W. LIEU
"UNITED STATES REPRESENTATIVE, 37th District","UNITED STATES REPRESENTATIVE, 37th District",No,United States,,"U.S. Representative, 37th District",,,
"UNITED STATES REPRESENTATIVE, 38th District","UNITED STATES REPRESENTATIVE, 38th District",No,United States,,"U.S. Representative, 38th District",,,LINDA T. SÁNCHEZ
"UNITED STATES REPRESENTATIVE, 42nd District","UNITED STATES REPRESENTATIVE, 42nd District",No,United States,,"U.S. Representative, 42nd District",,,
"UNITED STATES REPRESENTATIVE, 43rd District","UNITED STATES REPRESENTATIVE, 43rd District",No,United States,,"U.S. Representative, 43rd District",,,MAXINE WATERS
"UNITED STATES REPRESENTATIVE, 44th District","UNITED STATES REPRESENTATIVE, 44th District",No,United States,,"U.S. Representative, 44th District",,,NANETTE DIAZ BARRAGAN
"UNITED STATES REPRESENTATIVE, 45th District","UNITED STATES REPRESENTATIVE, 45th District",No,United States,,"U.S. Representative, 45th District",,,MICHELLE STEEL
UNITED STATES SENATOR - Full Term,UNITED STATES SENATOR - Full Term,No,United States,,U.S. Senator,,,ALEX PADILLA
"UNITED STATES SENATOR - Short Term (Unexpired term ending January 3, 2023)",UNITED STATES SENATOR - Short Term,No,United States,,U.S. Senator,,,ALEX PADILLA
For Associate Justice of the Supreme Court - GOODWIN LIU,For Associate Justice of the Supreme Court - GOODWIN LIU,No,California,,,,,
For Associate Justice of the Supreme Court - JOSHUA P. GROBAN,For Associate Justice of the Supreme Court - JOSHUA P. GROBAN,No,California,,,,,
For Associate Justice of the Supreme Court - MARTIN J. JENKINS,For Associate Justice of the Supreme Court - MARTIN J. JENKINS,No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Eight - ELIZABETH ANNETTE GRIMES","For Associate Justice, Court of Appeal, Second District, Division Eight - ELIZABETH ANNETTE GRIMES",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Eight - JOHN SHEPARD WILEY JR.","For Associate Justice, Court of Appeal, Second District, Division Eight - JOHN SHEPARD WILEY JR.",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Five - LAMAR W. BAKER","For Associate Justice, Court of Appeal, Second District, Division Five - LAMAR W. BAKER",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Four - AUDREY B. COLLINS","For Associate Justice, Court of Appeal, Second District, Division Four - AUDREY B. COLLINS",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Four - BRIAN S. CURREY","For Associate Justice, Court of Appeal, Second District, Division Four - BRIAN S. CURREY",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Seven - JOHN L. SEGAL","For Associate Justice, Court of Appeal, Second District, Division Seven - JOHN L. SEGAL",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Six - HERNALDO J. BALTODANO","For Associate Justice, Court of Appeal, Second District, Division Six - HERNALDO J. BALTODANO",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Three - LUIS A. LAVIN","For Associate Justice, Court of Appeal, Second District, Division Three - LUIS A. LAVIN",No,California,,,,,
"For Associate Justice, Court of Appeal, Second District, Division Two - JUDITH M. ASHMANN","For Associate Justice, Court of Appeal, Second District, Division Two - JUDITH M. ASHMANN",No,California,,,,,
"For Presiding Justice, Court of Appeal, Second District, Division Eight - MARIA E. STRATTON","For Presiding Justice, Court of Appeal, Second District, Division Eight - MARIA E. STRATTON",No,California,,,,,
"For Presiding Justice, Court of Appeal, Second District, Division Five - LAURENCE D. RUBIN","For Presiding Justice, Court of Appeal, Second District, Division Five - LAURENCE D. RUBIN",No,California,,,,,
"For Presiding Justice, Court of Appeal, Second District, Division One - FRANCES ROTHSCHILD","For Presiding Justice, Court of Appeal, Second District, Division One - FRANCES ROTHSCHILD",No,California,,,,,
